Tar01,-158.26,21.57
Tar02,-147.52,64.98
Tar03,-120.60,34.67
Tar04,-106.61,32.54
Tar05,-95.91,41.11
Tar06,-77.37,38.50
Tar07,-64.97,18.36
Tar08,-14.40,-7.91
Tar09,24.92,60.21
Tar10,34.90,32
Tar11,50.61,26.21
Tar12,54.45,24.43
Tar13,72.37,-7.27
Tar14,103.99,1.35
Tar15,113.70,-24.87
Tar16,115.89,-31.80
Tar17,127.03,37.09
Tar18,141.32,40.72
Tar19,144.94,13.58
Tar20,167.73,8.72
